tree_species,region,county,soil_type,rainfall_mm,temperature_c,altitude_m,soil_ph,planting_season,planting_method,care_level,water_source,tree_age_months,survival_probability,survived,data_source_rainfall,real_climate_data,synthetic_survival_data,dataset_version
Wattle,Eastern,Nairobi,Rocky,585.6151896665624,16.53029795465763,1714.0343839655666,6.621060357465618,Dry,Direct Seeding,Low,Borehole,14,0.69,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Northern,Turkana,Loam,560.4012083758585,22.72930926214155,1419.2895076485838,6.163005919204314,Wet,Cutting,Low,Irrigation,8,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Eastern,Nakuru,Clay,704.2988318887006,27.860144519022,2660.418912679758,6.075463170603888,Dry,Seedling,High,Irrigation,44,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Eastern,Turkana,Volcanic,619.7275784182962,25.70170408973869,2916.637047609174,7.909049942723132,Transition,Cutting,Medium,Rain-fed,33,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Central,Eldoret,Clay,634.3928036770192,28.948014140732955,1135.409122674347,6.238226471047347,Dry,Seedling,Low,Rain-fed,43,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Grevillea,North Eastern,Meru,Volcanic,559.7789841319501,19.44753390211202,2028.7842771642013,5.703985451000601,Dry,Seedling,Medium,River,8,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,North Eastern,Machakos,Red Soil,603.7972572163638,19.952955847142213,1596.1853075452177,7.180065338237998,Wet,Seedling,Medium,Irrigation,22,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Coast,Mombasa,Rocky,636.5625229281163,24.13012933417001,2569.672509468972,6.178857289549355,Wet,Seedling,Low,Borehole,109,0.91,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Nairobi,Machakos,Volcanic,573.4667145715079,22.93227157384714,2487.9654869217597,6.177080628155186,Wet,Seedling,Low,Borehole,117,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,North Eastern,Eldoret,Volcanic,649.8012943599066,20.327493820795254,891.0926066777151,6.125607245411488,Dry,Direct Seeding,Low,River,1,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,Northern,Nyeri,Volcanic,600.9844589466827,31.21857898875923,1119.3274737528936,6.389931696628154,Wet,Direct Seeding,Low,Rain-fed,92,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Northern,Kakamega,Rocky,616.4317059529592,27.483981272207014,1661.6845323490286,7.124434206606908,Wet,Cutting,Medium,Irrigation,52,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Grevillea,Rift Valley,Nairobi,Rocky,600.9310628311531,22.42081760503961,2209.9094234953527,7.039627910974785,Transition,Seedling,Low,River,84,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Rift Valley,Turkana,Loam,723.6303026680698,24.33528586364444,2064.849175253932,7.55106710942817,Wet,Cutting,High,Irrigation,35,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,Nyanza,Meru,Clay,630.3415322057263,26.248010485105123,795.4120690541406,7.241842913410377,Dry,Seedling,High,Rain-fed,36,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Nairobi,Marsabit,Volcanic,578.130846994828,24.63980213513237,819.224323556164,6.125041123040262,Dry,Direct Seeding,Low,Rain-fed,55,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,Western,Nairobi,Rocky,672.1436390477825,10.729206602411924,1741.4029767076945,6.474045215548008,Dry,Cutting,High,Borehole,105,0.95,0,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,Western,Garissa,Clay,569.9742109440718,32.123604990005035,1732.5641444295125,5.708211027988149,Transition,Direct Seeding,Low,River,85,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,Western,Mombasa,Volcanic,641.4595731928607,17.51372814257084,643.8969000416107,6.873822205809339,Transition,Seedling,Low,River,75,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,North Eastern,Kiambu,Loam,533.0328872486342,22.413652179002398,2596.201909409963,6.565228687617353,Wet,Direct Seeding,High,Rain-fed,66,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Grevillea,North Eastern,Turkana,Rocky,564.6070909977014,23.1874262581097,2700.899921596042,6.091712984205197,Wet,Cutting,High,River,31,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Eastern,Garissa,Volcanic,640.8594552360792,21.200307350182864,777.9937057653783,6.731562760727147,Transition,Cutting,High,Borehole,105,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Coast,Kisumu,Sandy,667.9397224423935,24.008558610494703,1214.2802157046517,7.67149782047365,Dry,Direct Seeding,High,Borehole,32,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Acacia,North Eastern,Kiambu,Red Soil,639.5848075021215,22.06296200390897,684.4914118384971,6.884635711003302,Dry,Seedling,Low,Borehole,49,0.95,0,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Nyanza,Kisumu,Rocky,625.233979323211,29.62914978625416,2342.751764607548,7.788135854172766,Dry,Seedling,Medium,River,8,0.7799999999999999,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Central,Nyeri,Clay,615.9612086631586,22.75196893238104,2935.9870191654163,7.965526861199008,Dry,Direct Seeding,High,Rain-fed,84,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Coast,Mombasa,Clay,557.0902939242516,29.383293127148143,1545.6075907265472,7.831821208385033,Wet,Seedling,Low,Rain-fed,65,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Rift Valley,Nyeri,Loam,595.0241830228875,29.18091734038883,2572.910551766286,6.922703672914369,Transition,Direct Seeding,Low,Irrigation,1,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,Coast,Machakos,Sandy,607.9844548946336,23.126176764028017,2782.914380644107,6.96287383081368,Transition,Direct Seeding,Medium,Rain-fed,17,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Nyanza,Mombasa,Sandy,683.8725047535688,24.572194170293745,1071.6070137586566,7.179251711014642,Wet,Seedling,Medium,Borehole,34,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Central,Mombasa,Red Soil,648.1973079210461,27.76622593214228,1902.3449288384656,7.691634006645863,Dry,Seedling,Medium,Borehole,85,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Eastern,Nyeri,Black Cotton,542.8643856744862,13.206302567884428,1480.6101127493307,6.593687305059323,Dry,Cutting,Medium,Borehole,88,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Eastern,Eldoret,Volcanic,647.2205919123627,25.22866394361624,1648.367019865431,7.605228537546774,Wet,Direct Seeding,Medium,Rain-fed,6,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,Northern,Eldoret,Rocky,611.7622794218072,26.57302757797042,1843.1585417851752,6.65029789745893,Dry,Cutting,Low,Rain-fed,67,0.22,0,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Northern,Kakamega,Black Cotton,597.1702934273251,24.52053429845267,2554.476592111123,6.362706569555967,Dry,Direct Seeding,Medium,Irrigation,5,0.8099999999999999,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Northern,Eldoret,Black Cotton,661.6002078846664,22.176317759858645,598.2803496027474,7.498525997272607,Transition,Direct Seeding,High,Irrigation,63,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Northern,Marsabit,Sandy,682.5663695674206,18.123841031661563,2965.642489667038,6.841476614968332,Transition,Seedling,High,Irrigation,78,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Rift Valley,Machakos,Black Cotton,677.5803993984329,17.060320771017295,2738.0170942179984,6.779193605289166,Transition,Cutting,High,Borehole,115,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Acacia,North Eastern,Meru,Sandy,589.055517281491,16.592259981928024,799.4053295481281,7.726318201849738,Transition,Direct Seeding,Medium,Borehole,105,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cedar,North Eastern,Kakamega,Black Cotton,615.5557746500623,30.234745051935924,1966.3385866518977,6.911146356306603,Wet,Seedling,Low,River,64,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Nairobi,Meru,Black Cotton,647.5795650128011,21.02874305882983,518.8359078351868,6.06333199428132,Transition,Seedling,Medium,Borehole,62,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Northern,Nakuru,Black Cotton,679.793649798741,22.72602030142729,513.2500159940136,7.937667907362856,Dry,Cutting,Low,River,66,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Acacia,Central,Meru,Clay,607.0576815503584,24.472833010712424,2919.9851662605856,7.277381197091871,Transition,Seedling,Medium,River,1,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Rift Valley,Eldoret,Sandy,621.7334446094321,22.0539908240485,1301.605480398786,6.984707743894747,Dry,Seedling,Medium,Rain-fed,23,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,Rift Valley,Marsabit,Volcanic,575.6996447423215,18.97792760934144,2485.723624916156,5.76674812528359,Transition,Seedling,Low,Borehole,9,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Coast,Kakamega,Volcanic,571.2060622385894,24.48645888915388,2376.254811913284,7.498842827298789,Transition,Seedling,Medium,River,78,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Northern,Nairobi,Red Soil,671.6426845623329,26.12450093064367,1629.8715032475982,7.284456137138315,Transition,Direct Seeding,High,Rain-fed,15,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Northern,Kisumu,Loam,698.8283948711642,10.944323454960577,2766.180277411368,7.06059498978498,Transition,Seedling,Low,Borehole,51,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Coast,Kitui,Red Soil,627.4158873636063,22.41027435576399,2471.493028061327,5.879187199331878,Dry,Seedling,Medium,Irrigation,68,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Eastern,Eldoret,Red Soil,681.1930383372242,23.30264493537008,1841.203378711487,6.447053913892289,Dry,Direct Seeding,High,Borehole,8,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Acacia,Nyanza,Kisumu,Black Cotton,649.0981946950047,31.99658603124902,2290.4476868323804,6.997573411943316,Transition,Seedling,Medium,Borehole,47,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Eastern,Meru,Volcanic,598.7604057123667,35.21785791699276,2028.63558858662,5.545275459552101,Dry,Cutting,Medium,Rain-fed,72,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Nairobi,Nairobi,Black Cotton,649.0861737180437,31.434140560621184,2341.110589061808,7.835917536922537,Dry,Seedling,Medium,River,21,0.7100000000000001,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Eastern,Nyeri,Volcanic,707.9182217659214,24.61976333553897,1497.5067596753256,5.636904097055078,Wet,Cutting,Low,River,41,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Western,Kisumu,Clay,629.2250914871254,25.140700067403348,1367.3830047405693,7.343753120274371,Transition,Seedling,High,River,52,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Nairobi,Nairobi,Rocky,709.2485762333233,26.52943805745252,1050.2430352027427,6.0317019608530655,Dry,Seedling,Medium,River,49,0.8999999999999999,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Nyanza,Nakuru,Black Cotton,500.0291382381358,17.4472107763006,1274.842315671527,6.493295288643995,Wet,Direct Seeding,High,Rain-fed,29,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Northern,Garissa,Clay,672.1115186613841,22.532151138459483,2438.8190417375263,6.633222086870069,Wet,Seedling,Low,Borehole,94,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Rift Valley,Garissa,Clay,635.3687468545315,20.89238951657641,2383.115551868628,6.180754636800748,Transition,Seedling,Low,Rain-fed,55,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Northern,Nyeri,Red Soil,616.0660259193296,23.70494176138567,990.282749233632,6.763769697765085,Dry,Cutting,High,River,67,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,Eastern,Meru,Volcanic,635.6044322693981,20.125895962252013,2305.667329639148,7.639241170265715,Wet,Seedling,Low,Borehole,85,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,Eastern,Kitui,Sandy,531.6379477125784,15.744432118073483,1553.561376481245,7.731679277692438,Transition,Cutting,Low,Borehole,2,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Western,Meru,Sandy,620.0327990507474,30.77397090992182,1880.1179521299505,6.590316322838292,Wet,Direct Seeding,Medium,Irrigation,108,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Nyanza,Kiambu,Volcanic,648.8720220182103,22.75150880730939,1563.0337611730836,5.5561732708002936,Dry,Direct Seeding,Medium,Irrigation,103,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,Northern,Kiambu,Volcanic,704.9110956796987,23.737908526808354,929.1982146207588,6.180768316298423,Wet,Direct Seeding,Medium,Irrigation,100,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,North Eastern,Kisumu,Loam,605.1028825289407,24.362987412065216,1016.053179401508,5.527489571646202,Wet,Direct Seeding,High,Rain-fed,12,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Northern,Kitui,Clay,590.5917132979636,26.032966239568434,1457.8463206237436,6.797294263207094,Transition,Cutting,Medium,Rain-fed,53,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Northern,Kiambu,Red Soil,605.9285412633961,15.241576971918333,2297.614762960614,6.242804289057938,Transition,Seedling,Medium,Rain-fed,24,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Rift Valley,Nyeri,Sandy,676.7864993277267,13.402294966438898,905.0346947289617,7.603824150775108,Wet,Direct Seeding,High,River,117,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Rift Valley,Kakamega,Rocky,647.4539489256072,21.763676736854958,1587.0683465093657,6.116005083097767,Transition,Seedling,Medium,River,94,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Coast,Nairobi,Red Soil,604.528383254271,20.86877390495662,1854.7523684458956,7.682364589691021,Dry,Seedling,High,Irrigation,118,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Nairobi,Marsabit,Red Soil,656.6797650982908,23.03843843581556,951.438362818334,6.919863076381573,Dry,Direct Seeding,Low,River,7,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Rift Valley,Kitui,Sandy,635.870270910025,20.20281362987549,2362.661370300551,5.637206536616187,Transition,Seedling,Low,River,17,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Central,Meru,Volcanic,679.4486429692674,28.389634146190826,2311.916928821904,5.663390851997356,Wet,Direct Seeding,Medium,Rain-fed,25,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,Nairobi,Turkana,Volcanic,595.9137387487553,24.92751730429289,561.001953891345,7.675247184752324,Wet,Cutting,Low,Borehole,32,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,North Eastern,Mombasa,Rocky,614.6332861127346,19.22388000435619,1951.8930180683192,6.17921742767251,Dry,Seedling,High,Borehole,65,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Coast,Marsabit,Red Soil,611.4109857860151,19.738359171827497,2288.883288085605,6.972771336177237,Dry,Direct Seeding,High,River,15,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Rift Valley,Nyeri,Red Soil,557.840646036017,14.337363290413393,2955.826287700204,7.710497445328757,Transition,Direct Seeding,Low,Irrigation,72,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Western,Eldoret,Black Cotton,645.8224072958518,22.36981482036784,941.3200800137706,6.051215522675438,Dry,Seedling,Low,Borehole,5,0.88,0,World Bank Real Data Based,True,True,v2_real_climate
Casuarina,Western,Nakuru,Black Cotton,644.0691570516175,16.132148964939375,2395.596189260228,7.240051545134481,Dry,Direct Seeding,High,River,111,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,North Eastern,Eldoret,Clay,631.2720662747461,20.06149220032008,2721.870199672443,7.889128745574384,Dry,Cutting,Medium,River,11,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Coast,Turkana,Clay,619.2870367738657,18.845039350630262,2905.3049314801247,5.773672150136135,Wet,Direct Seeding,Medium,Rain-fed,40,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Northern,Eldoret,Loam,560.2478563401023,26.10241219135613,1859.447269993498,7.661232200768371,Dry,Cutting,High,Rain-fed,59,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Grevillea,Coast,Kitui,Volcanic,609.9841273043551,27.84647795222836,2046.5284455379608,7.381791598894103,Wet,Cutting,Low,Irrigation,115,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Nairobi,Kiambu,Volcanic,613.8806676162845,17.91532164506382,901.8997401207704,7.544917560297655,Wet,Direct Seeding,High,Rain-fed,27,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Rift Valley,Garissa,Rocky,590.902529981542,22.94860441779029,1208.357370663954,5.546069296845544,Transition,Direct Seeding,High,Irrigation,94,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Central,Machakos,Black Cotton,622.9521078593225,22.97044996449154,1252.4089173670409,7.2704302216132035,Dry,Seedling,Low,Irrigation,22,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,Central,Kisumu,Red Soil,651.2189362833499,23.886059375322603,2395.6579898225564,5.561467291147004,Transition,Cutting,Low,Irrigation,32,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Nairobi,Mombasa,Volcanic,725.3256885031495,15.875324749055238,2860.759087394574,5.755484049234298,Dry,Seedling,Low,Irrigation,75,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,North Eastern,Kakamega,Loam,639.745284084215,23.216538320641828,2643.4002302312465,7.911301180675522,Transition,Seedling,Medium,Borehole,1,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Nyanza,Garissa,Black Cotton,643.8939129787613,20.56023889048597,2287.310100505619,6.906875715858456,Dry,Direct Seeding,High,River,17,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Indigenous Mix,Nyanza,Garissa,Sandy,627.2940976543147,25.03757163574752,2065.5508040785385,5.828112194205969,Transition,Seedling,Low,Rain-fed,20,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Northern,Kisumu,Volcanic,535.0778326776709,29.505194200022306,1118.849889008438,6.896031681457995,Dry,Cutting,High,Rain-fed,2,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,North Eastern,Nairobi,Rocky,629.6906996701622,18.55920154949864,1699.8470867928088,7.000051370298259,Wet,Cutting,Medium,Borehole,41,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Nyanza,Kiambu,Rocky,634.0279039396743,16.208176554037287,2045.3893357952977,7.25616242636026,Dry,Direct Seeding,High,Rain-fed,2,0.7799999999999999,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Rift Valley,Machakos,Red Soil,754.1784990668873,20.594498535570224,1918.8521206538956,7.223662422843164,Dry,Cutting,High,Borehole,104,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Nyanza,Eldoret,Sandy,621.3983452035668,28.915725004361374,2032.360437164015,6.247089715843284,Wet,Seedling,Low,Borehole,84,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,North Eastern,Garissa,Sandy,646.0937605593036,31.88272136864114,1993.6896565798247,7.459581383547155,Wet,Seedling,Medium,River,75,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Rift Valley,Kisumu,Sandy,629.2808049573608,19.3535088122689,2474.246267856198,7.14676943875219,Transition,Direct Seeding,High,Borehole,22,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Nairobi,Garissa,Clay,572.5824915616464,16.886037174007974,680.4960224479396,5.576631255514515,Wet,Cutting,Medium,Rain-fed,85,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Central,Nakuru,Clay,688.157534168374,25.787278746585205,2419.3097201669507,6.762112204732544,Wet,Seedling,Medium,Borehole,117,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Western,Turkana,Sandy,668.6130450769617,19.13615787725737,1980.8758214834056,7.780908364041728,Dry,Direct Seeding,Low,Irrigation,15,0.71,0,World Bank Real Data Based,True,True,v2_real_climate
Neem,Nyanza,Mombasa,Clay,670.5679907947754,20.54255010503255,1730.694641120087,6.118077686007942,Wet,Seedling,High,Borehole,103,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Nyanza,Meru,Volcanic,585.547020702886,20.523688836461552,522.5760103238756,6.971031583351514,Transition,Cutting,Low,Irrigation,47,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Coast,Meru,Loam,701.1561089894279,15.585038879057151,1342.5079410782157,7.572208414706523,Dry,Seedling,High,Borehole,57,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Neem,Northern,Garissa,Loam,560.923840303009,32.383739917804206,2610.4261224229926,7.514175382375133,Dry,Seedling,Medium,Irrigation,20,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Eucalyptus,Central,Nakuru,Black Cotton,660.3592481326365,25.146244859467924,950.0260936818088,5.721388960558103,Wet,Direct Seeding,Medium,River,20,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Grevillea,Northern,Meru,Red Soil,740.5391747331219,24.000572373241084,1135.5614497437332,6.804325116590533,Wet,Seedling,Medium,River,45,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Pine,Central,Mombasa,Red Soil,581.4895771860886,31.57015676933393,2670.3556359437634,5.942874473618465,Wet,Seedling,Medium,Irrigation,43,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Eastern,Nairobi,Clay,602.7015069624844,22.83384809798259,2421.298411309478,5.7827745476914325,Transition,Seedling,High,River,31,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Wattle,Central,Nyeri,Clay,635.998961697005,18.22862074990321,2998.5343144266662,5.62053009715139,Dry,Direct Seeding,High,Borehole,73,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Bamboo,Rift Valley,Kiambu,Volcanic,605.8426107368131,26.820435841441785,1317.5829039080968,7.168983463908962,Dry,Cutting,High,Borehole,23,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cedar,Nairobi,Kakamega,Loam,553.4832218893164,15.325980808905117,1320.9530697127027,7.07552187082286,Dry,Direct Seeding,High,River,89,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Cypress,Coast,Machakos,Sandy,634.4445421829244,27.04908544671317,2048.7258650240365,6.658735109501431,Wet,Direct Seeding,High,Irrigation,28,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
Jacaranda,Nairobi,Kisumu,Black Cotton,577.9012077563177,16.093030083505994,1115.1741469949957,6.691738687602898,Wet,Cutting,Low,Rain-fed,108,0.95,1,World Bank Real Data Based,True,True,v2_real_climate
