tree_species,region,soil_type,rainfall_mm,temperature_c,altitude_m,soil_ph,planting_season,tree_age_months,survival_probability,survived
Pine,Western,Clay,737.5633248928175,19.534995326705836,2612.1882774236365,5.558179839339565,Dry,4,0.75,1
Indigenous Mix,Central,Rocky,958.8306534961408,21.080541311359898,597.9658166891156,6.544865079288947,Wet,37,0.95,1
Bamboo,Coast,Rocky,263.69851642046547,15.897149478590727,2441.032401854992,6.3520088506325445,Dry,55,0.1,0
Eucalyptus,Northern,Volcanic,677.6253941686113,23.30811527986233,2756.3822666989167,6.763130931119643,Dry,19,0.95,1
Cypress,Rift Valley,Volcanic,718.6878613134372,18.93452658545811,2875.1549176270123,7.876517867343891,Dry,35,0.95,1
Indigenous Mix,Coast,Sandy,367.804178357955,23.346588271262693,2865.4863572042254,7.453240126178006,Wet,39,0.85,0
Pine,Eastern,Clay,1344.0999727636722,24.022914475587623,2921.629859935337,7.220075025437597,Dry,38,0.75,1
Indigenous Mix,Coast,Volcanic,670.008977929232,23.019113637637336,2554.6501482258905,7.265605567891241,Wet,19,0.95,1
Acacia,Western,Volcanic,886.9648434611378,21.06387521825593,1979.721847053211,6.375545616750784,Wet,54,0.95,1
Pine,Eastern,Sandy,562.4840064033261,16.140115727747773,1586.1296112206783,6.134205434682847,Wet,28,0.7,0
Eucalyptus,Eastern,Clay,966.4078382670886,25.66586682372176,2202.5985677422723,6.093766178231175,Dry,56,0.95,1
Indigenous Mix,Northern,Volcanic,1207.6449899998186,20.568267419170404,2944.7516718856773,6.890012596606462,Dry,37,0.95,1
Eucalyptus,Coast,Loam,658.4240776129577,23.086032389465323,915.5385797731324,6.0420227664662285,Wet,23,0.95,1
Acacia,Eastern,Sandy,766.720419311147,26.881545632405512,2050.331494503842,6.193452957452831,Wet,58,0.95,1
Eucalyptus,Central,Clay,560.5294345905402,15.310775880958108,1149.874657135657,6.633102117072077,Dry,20,0.7,1
Cypress,Coast,Clay,606.1101502097754,19.982225215765446,690.5009489979079,7.851329567838459,Wet,10,0.95,1
Eucalyptus,Western,Volcanic,777.9166652624281,20.588894055063946,2526.383326954582,7.968190323287361,Wet,25,0.95,0
Eucalyptus,Coast,Rocky,882.6905473662223,23.393615174853306,1671.7328994874258,6.537048755844163,Dry,5,0.7499999999999999,0
Pine,Western,Clay,801.573109915455,22.23490296882371,2422.468537951276,7.8619143247060705,Dry,14,0.85,1
Pine,Eastern,Sandy,545.4437901836259,17.31877485861022,1018.0691225201411,7.695551668697981,Wet,34,0.7,1
Bamboo,Northern,Loam,644.6263232583098,26.464126821494276,2540.964338032656,7.919934413599558,Dry,17,0.85,1
Acacia,Rift Valley,Sandy,1246.7135521653436,26.389125842400567,1032.4104037722768,5.840928688966924,Wet,18,0.85,1
Acacia,Northern,Sandy,1065.819068073846,21.314610894790736,1370.6386675582507,6.784973722899527,Dry,17,0.95,1
Indigenous Mix,Rift Valley,Volcanic,288.9852681934536,21.722261505516904,1647.8393905956532,7.950081438213693,Wet,43,0.95,1
Cypress,Northern,Rocky,945.5282334839825,11.687371630441252,1650.29789745893,6.961915264872884,Wet,4,0.5,1
Pine,Western,Loam,781.1962708180484,26.775711602506192,2168.894346302568,5.930799678004075,Dry,5,0.75,1
Acacia,Rift Valley,Sandy,729.2420575547969,21.61618045485834,1871.7882730185215,6.836058759331308,Dry,14,0.95,1
Bamboo,Western,Volcanic,612.428544933933,20.63195128248016,1702.863485140733,7.219461792740208,Dry,26,0.95,1
Bamboo,Northern,Sandy,854.452093288193,18.123841031661563,2965.642489667038,6.8414766149683315,Wet,23,0.95,1
Cypress,Northern,Loam,724.1242087679016,22.637172033340452,869.3477297655668,5.832792321468696,Dry,45,0.95,1
Acacia,Rift Valley,Clay,449.069469852473,13.704542058061717,762.1729163312023,7.343513015234548,Dry,39,0.85,1
Pine,Western,Clay,331.84822568519877,23.033447315005386,1357.3171606956507,6.6849248535763905,Dry,18,0.35,1
Cypress,Rift Valley,Clay,1512.2988210477165,27.072663463436488,2363.598685460825,6.579148865574199,Dry,6,0.5,0
Eucalyptus,Central,Volcanic,375.43924414474554,24.977005678552114,1745.6192446223504,6.325871203202285,Wet,21,0.7499999999999999,1
Eucalyptus,Western,Loam,604.807229263452,19.56437308117652,966.4175601282644,6.212737921734618,Dry,40,0.95,1
Bamboo,Northern,Loam,1039.2452613434943,22.72602030142729,513.2500159940136,7.937667907362856,Wet,57,0.95,1
Pine,Northern,Rocky,276.1515324016426,35.08349973300797,2596.456396756562,6.012693900373648,Dry,20,0.1,0
Indigenous Mix,Northern,Loam,662.4142169171002,20.466418003390913,2026.5501061040816,6.22157638310064,Dry,36,0.95,1
Pine,Eastern,Sandy,281.1259720972563,28.20856979826172,1635.6699305477491,6.8715077948453835,Dry,40,0.30000000000000004,0
Bamboo,Western,Clay,1050.7076336195425,16.351465726711908,2400.569649724216,6.98909685151961,Dry,44,0.7999999999999999,1
Acacia,Coast,Loam,647.4782135318742,15.790797416472333,2816.123558974278,7.3039913768781926,Dry,37,0.95,1
Pine,Northern,Rocky,704.4564468048982,20.404714894668285,2536.4368005784554,7.1629930517405,Dry,45,0.7499999999999999,1
Indigenous Mix,Northern,Clay,649.7640852747219,31.535094509552778,2284.456137138315,7.749168613230433,Dry,15,0.8,1
Cypress,Western,Loam,436.84965227918946,13.93294672224604,1829.6436992204349,5.666547780977043,Dry,51,0.75,1
Cypress,Eastern,Volcanic,901.5489222483243,19.923560430495993,2050.181889821284,6.833652729940804,Wet,57,0.95,1
Pine,Coast,Loam,1049.1007449632737,17.719580870455665,583.8310868394485,6.924724212178291,Wet,33,0.95,1
Indigenous Mix,Coast,Volcanic,126.55912768780718,25.379043650220403,1642.5005482041959,7.009894680181281,Dry,4,0.5,0
Cypress,Western,Volcanic,1060.881776031698,28.778189294024756,2234.8711111677503,6.856811108368991,Wet,11,0.8999999999999999,0
Cypress,Eastern,Sandy,446.664337552294,18.59869206403046,1558.9921560512073,6.219824041189315,Dry,40,0.75,1
Acacia,Eastern,Volcanic,739.1461340989542,22.234577174751294,2680.3097723603787,7.83029570620903,Wet,37,0.95,1
Indigenous Mix,Northern,Clay,875.0731797720946,16.301227859216468,2016.7876159571397,6.560326678255965,Wet,11,0.95,1
Eucalyptus,Rift Valley,Rocky,1561.6073305212458,24.61976333553897,1497.5067596753256,5.636904097055078,Dry,53,0.7499999999999999,1
Pine,Western,Sandy,736.9949904874718,17.26230106357044,2658.7953515323925,7.807400579496212,Dry,17,0.7,1
Eucalyptus,Central,Volcanic,941.5064315593522,14.35117848413596,913.7832935699346,5.584697900616487,Dry,43,0.95,1
Eucalyptus,Central,Volcanic,719.3333928335509,16.467370456291647,713.3741701966096,7.992185629614868,Wet,23,0.95,1
Indigenous Mix,Northern,Loam,629.8510496193815,27.644443715234537,1670.5795711034484,7.062439967627631,Wet,1,0.95,1
Bamboo,Western,Rocky,1216.5746807120863,8.703243214753137,1601.9068673455704,6.501907652188315,Dry,8,0.3,0
Acacia,Central,Rocky,755.0366099712614,24.638823804658305,1176.8616828588845,7.109998858097539,Wet,50,0.95,1
Indigenous Mix,Northern,Clay,1166.661003862381,11.128382179566765,1134.7214101082607,5.990282749233632,Dry,37,0.95,1
Bamboo,Northern,Loam,433.36165733241637,25.56499215086194,748.6034818983629,6.107930477498635,Wet,4,0.65,0
Pine,Central,Volcanic,717.2571303194024,16.712343742833287,1309.9751527669991,5.717312537375873,Dry,48,0.8999999999999999,1
Acacia,Western,Sandy,299.06624837948,30.823434671313592,2731.679277692437,7.543608904346103,Dry,2,0.15,0
Cypress,Eastern,Sandy,1155.563087453267,18.649804032223265,1406.8947366648636,7.652670049936804,Wet,44,0.95,1
Eucalyptus,Rift Valley,Loam,788.7095892725455,27.516509410082605,2736.3805672352287,7.4996381398682885,Dry,14,0.95,1
Bamboo,Eastern,Sandy,561.7092274509434,30.10384011733637,1045.057768735216,7.112635419423324,Wet,29,0.5,1
Pine,Eastern,Volcanic,311.12210420710187,24.759318276547504,1885.4450062894834,7.128550970879661,Wet,22,0.5499999999999999,1
Indigenous Mix,Central,Sandy,1286.160033549763,29.852473176305693,2162.5916863656385,5.938428196558624,Dry,28,0.9,1
Indigenous Mix,Eastern,Loam,243.56425875220827,17.0520847121263,2896.5679432830516,5.960927301697408,Wet,29,0.85,1
Cypress,Northern,Sandy,523.0300261667287,15.241576971918331,2297.614762960614,6.242804289057938,Dry,47,0.6,0
Cypress,Western,Rocky,785.0574104520273,16.404425359866458,1174.7780559804874,6.849606947270484,Dry,17,0.49999999999999994,1
Eucalyptus,Central,Clay,293.132832176519,26.93561100064355,2427.2805093645547,5.766495632834429,Dry,43,0.5,0
Cypress,Northern,Sandy,560.914569267635,21.621145863892732,694.4133601973926,5.505848476564446,Wet,19,0.75,1
Cypress,Coast,Clay,999.1211641664063,27.050707302143092,1803.2516685339235,5.716763029655459,Dry,37,0.7999999999999999,1
Pine,Central,Volcanic,663.8767074390674,25.164708168967326,1723.5624091078512,6.053023604549006,Wet,47,0.95,1
Eucalyptus,Western,Sandy,424.70110070544587,35.02988733479759,1282.1371412639687,5.801306446966161,Dry,23,0.49999999999999994,0
Cypress,Eastern,Rocky,1206.9900146550362,8.437547540760132,2111.366626564555,7.125418376108071,Dry,34,0.4,0
Eucalyptus,Eastern,Volcanic,41.19876802260194,28.490888539173483,1511.2136242046267,6.931069398583665,Wet,25,0.7,0
Cypress,Rift Valley,Sandy,5.824136030747468,25.64771383317907,2691.663444656124,6.54376521006973,Wet,59,0.4,0
Acacia,Coast,Clay,1014.0198770616337,22.235086065618724,2496.9580894341634,7.994835276333344,Dry,53,0.95,1
Acacia,Coast,Clay,318.3773026446313,24.83926736885636,1495.718459939089,5.729248337778575,Wet,49,0.7999999999999999,1
Eucalyptus,Central,Volcanic,396.6648466897169,17.40674026757901,1240.7703011399753,6.084019377624775,Wet,15,0.6,1
Indigenous Mix,Coast,Loam,1265.150147844223,17.008229796306047,1045.6347196626605,7.8749029598755635,Wet,6,0.95,0
Acacia,Eastern,Loam,873.04872164237,26.64048888308097,2759.309917938176,7.972962274533398,Wet,20,0.95,1
Eucalyptus,Rift Valley,Clay,985.4421785842044,19.481477596634292,800.8469050874899,5.617363392869533,Dry,58,0.95,1
Cypress,Eastern,Sandy,651.2092861020587,21.159425521873533,2922.7565753520284,7.709464712408565,Dry,59,0.95,1
Bamboo,Coast,Volcanic,1038.7719514542423,27.242654692538004,884.7397658496377,7.539582812476544,Dry,25,0.8999999999999999,1
Acacia,Coast,Clay,547.9669764249985,22.823489137185703,2693.652156575951,6.164000106471765,Dry,25,0.95,1
Pine,Eastern,Loam,779.2932455011318,21.062106678648743,2828.973720797475,7.3380316363086315,Dry,48,0.95,1
Bamboo,Coast,Loam,644.7166102891485,23.118939758194493,2628.0172851219218,6.737866317534936,Wet,3,0.95,1
Cypress,Eastern,Clay,1004.5674468878934,31.23353662868017,1167.5706754235534,7.696574965887895,Dry,59,0.6,1
Cypress,Northern,Rocky,449.33112027748405,18.287428245715297,2825.225876274347,5.76458523457146,Dry,5,0.35,0
Pine,Eastern,Sandy,749.8645759049436,22.733568432166614,1337.7971356478547,7.35877064072902,Wet,13,0.95,1
Acacia,Coast,Loam,857.329720405971,22.232182740780743,2079.533817541671,6.149508952660399,Wet,6,0.95,1
Bamboo,Coast,Volcanic,786.07388877758,20.35042632433263,2600.3037568530467,6.480378028612991,Wet,4,0.95,1
Bamboo,Rift Valley,Loam,947.1258715108299,18.981098804689655,2271.4300115065735,6.683934721087722,Wet,50,0.95,0
Acacia,Coast,Loam,624.0355734435971,31.554022942293926,2118.934108504769,6.985989648071364,Dry,6,0.9,1
Pine,Coast,Rocky,629.6948681983731,25.65607746671437,502.57369961408347,5.897345708191891,Dry,35,0.6,1
Pine,Northern,Rocky,932.0043350159997,19.489728878236946,2234.2055644537213,6.051924031971901,Wet,11,0.7499999999999999,1
Bamboo,Western,Clay,995.0603533875983,21.504120681103085,1549.3182923153058,7.096314869160214,Dry,3,0.75,1
Eucalyptus,Central,Rocky,1149.0456374093778,17.35333902948863,2364.5925300774106,6.000897858871782,Wet,15,0.7999999999999999,1
Cypress,Northern,Sandy,435.27398774982487,22.77123656867034,1009.2531231906855,5.727911226015479,Wet,7,0.75,1
Bamboo,Central,Rocky,858.9563509104411,25.54501878794256,2491.343227440441,6.703805878781376,Wet,36,0.7,1
Pine,Western,Volcanic,627.83315529946,19.67804461693131,2128.7986670056616,6.314813659880187,Dry,8,0.95,1
Cypress,Coast,Clay,518.8933986800223,30.09401012510299,2936.7496296767245,7.304719069817338,Dry,38,0.4,0
Bamboo,Northern,Rocky,1081.9544310589063,26.230067723356342,864.8051850878637,5.756981011231664,Wet,33,0.7,1
Acacia,Rift Valley,Sandy,537.1043996077456,22.18830116583969,1376.5673280229519,5.583007771978417,Wet,39,0.95,1
Cypress,Coast,Loam,1075.7908609123265,24.762620426291925,602.9587381981792,7.17596364588603,Dry,6,0.95,1
Pine,Eastern,Rocky,1242.7559841461855,29.618420997203025,1247.0897158432845,7.838004538248649,Wet,47,0.5,0
Eucalyptus,Eastern,Sandy,1195.2182196902977,22.987998023461998,1630.7957112957504,7.108944237991312,Wet,11,0.95,1
Cypress,Northern,Rocky,1319.6645757456945,27.375414105179814,1698.1973214407183,7.039355054855607,Dry,8,0.3,0
Cypress,Northern,Volcanic,631.1018985393,21.59074634255971,904.1813603670066,5.552152848228845,Wet,56,0.95,0
Eucalyptus,Eastern,Clay,461.6518338496082,24.82138694013368,2200.5706060782286,5.680496022447939,Wet,21,0.95,1
Acacia,Eastern,Sandy,655.0440613101878,29.869933816450164,1364.8374813674072,6.427596907461506,Dry,51,0.95,1
Pine,Eastern,Sandy,1305.1783074373607,19.7055786856553,1716.672353561757,7.683558095204152,Dry,51,0.75,1
Eucalyptus,Western,Sandy,416.833860223075,14.25610088743894,1664.5320175506213,7.589995159453023,Wet,36,0.8999999999999999,0
Indigenous Mix,Northern,Volcanic,634.908453846374,18.641883160309742,2928.487735104099,5.952442381773724,Dry,54,0.95,1
Bamboo,Central,Loam,1031.5096131945033,7.757286896849623,1398.0834234994143,6.982377128587318,Dry,57,0.95,1
Cypress,Rift Valley,Loam,1315.0296440943162,29.688057800370206,1491.649440858905,6.09256964277084,Wet,14,0.75,1
Cypress,Eastern,Clay,1385.3102894060057,19.05010704792778,864.3914206118793,6.623584588034344,Dry,54,0.75,1
Acacia,Northern,Rocky,703.5094846347852,32.383739917804206,2610.4261224229926,7.514175382375133,Dry,20,0.55,1
Cypress,Northern,Volcanic,814.515535485741,18.562282743302042,2841.5142307374035,5.598358851671274,Dry,59,0.95,1
Cypress,Western,Sandy,623.3709391379613,22.046458762654563,870.8580024052221,7.966575307397117,Dry,50,0.95,0
Bamboo,Eastern,Volcanic,336.6606519180597,24.517145413009388,1804.3251165905328,6.3566337203022885,Wet,16,0.5499999999999999,0
Indigenous Mix,Northern,Volcanic,580.1947426227143,24.527135733124087,970.8727094140036,7.327073687177191,Dry,22,0.95,1
Eucalyptus,Eastern,Loam,769.146751059179,21.866028266821683,1110.3682260559358,7.5771929783542635,Wet,25,0.95,1
Indigenous Mix,Central,Sandy,477.0018475467003,25.342039804711824,2147.2136755816427,6.484661014135396,Wet,28,0.95,1
Indigenous Mix,Central,Volcanic,315.9594019194794,26.655047321639273,2666.0966688191133,7.983342343396571,Dry,31,0.7,0
Bamboo,Rift Valley,Sandy,726.7530094128053,26.820435841441785,1317.5829039080968,7.168983463908962,Dry,41,0.7999999999999999,1
Indigenous Mix,Central,Rocky,704.1329713042758,26.740884126811505,1242.173186400702,7.122686646985983,Wet,7,0.9,1
Cypress,Eastern,Sandy,1062.4503314807394,11.215096776501635,1991.213687463554,6.864217221238683,Dry,35,0.7999999999999999,1
Pine,Northern,Rocky,1180.7531547629387,25.48868564074727,1751.1132728268537,6.855909162449346,Dry,29,0.6,1
Cypress,Northern,Sandy,383.1282599709212,13.77300626521554,1950.4309230683307,6.834006366817196,Wet,59,0.4,0
Eucalyptus,Eastern,Loam,718.820032500989,28.309102064670544,2741.785724600306,5.6782006751379095,Dry,15,0.95,1
Indigenous Mix,Eastern,Loam,380.7445301468379,21.523774608873275,915.8290193578554,7.043379393532436,Dry,47,0.9,1
Indigenous Mix,Eastern,Sandy,551.3215757402234,22.817387395837265,2294.089464771574,6.49976301701039,Dry,30,0.95,1
Eucalyptus,Rift Valley,Volcanic,509.2401169058702,24.75518651121269,1812.9084591676503,7.272615654306081,Wet,56,0.95,0
Pine,Western,Volcanic,1219.2244109181115,21.624279165949915,1875.5663553906545,5.608531332137048,Dry,22,0.75,0
Pine,Central,Volcanic,714.8174567352396,24.00596108163445,1030.1120997705666,7.02745247212748,Wet,8,0.95,1
Acacia,Eastern,Sandy,314.5367615860516,23.87535957341389,1255.1512545869878,7.329895168964086,Dry,18,0.6,0
Acacia,Rift Valley,Clay,726.5599274581097,16.362478311297018,882.4595020714066,6.088088962004962,Dry,21,0.95,1
Pine,Central,Volcanic,813.1434415937329,21.264989991857558,2017.7350902219519,6.8667435317851755,Dry,57,0.95,1
Eucalyptus,Western,Rocky,558.8976296090807,30.195584027220338,1570.499037314037,7.293994414145441,Wet,19,0.3999999999999999,0
Indigenous Mix,Central,Rocky,1004.3888523261413,20.632678767725878,2431.5568186234564,6.162238618091834,Dry,9,0.95,1
Pine,Eastern,Volcanic,605.2167364801978,15.880298666188718,673.5596068652334,6.797649477270676,Wet,27,0.95,1
Pine,Western,Sandy,989.3873849780504,14.216920146015983,2200.329827758628,6.077072972885031,Dry,44,0.7999999999999999,1
Acacia,Rift Valley,Rocky,1301.771716051311,24.095095046830227,1663.0140307092954,5.650355856501963,Dry,13,0.7,1
Acacia,Central,Rocky,597.2041181076808,24.61388975232946,1523.6946325130098,6.556722783490474,Wet,20,0.7999999999999999,1
Acacia,Eastern,Clay,526.0403282655166,20.589097104873755,2935.411571570039,5.550065889814562,Dry,30,0.95,1
Acacia,Northern,Rocky,575.246227811261,23.126713768445335,2388.1760512420196,5.819283709088087,Wet,14,0.7999999999999999,1
Eucalyptus,Central,Clay,595.3896850402057,16.12755058753431,1452.2738137774681,6.365804421472509,Dry,3,0.6,1
Cypress,Northern,Rocky,1446.722948962037,16.342734896737852,1789.1985692412445,7.7984799330360435,Dry,52,0.4,1
Bamboo,Western,Rocky,668.4238381228113,27.831513736183947,2694.9358011126737,7.670141725268626,Wet,9,0.6,1
Eucalyptus,Eastern,Clay,1013.6814468517634,22.601128167171066,1937.9083762415623,6.69838610034463,Wet,16,0.95,1
Indigenous Mix,Rift Valley,Volcanic,803.1057859530142,15.440818838249202,1496.6575694307828,5.865934980405623,Wet,4,0.95,1
Indigenous Mix,Northern,Rocky,816.9949774691321,24.648463771783653,2914.5554028830497,6.58124469582533,Wet,29,0.95,1
Cypress,Western,Volcanic,437.09157714766775,24.999643649981024,2048.9698872445742,7.125502730995383,Dry,34,0.85,1
Cypress,Coast,Clay,844.6002371606335,20.314570144409803,2959.197313158534,6.097950260539814,Wet,46,0.95,1
Eucalyptus,Coast,Rocky,683.5469544376314,22.85208111187744,1773.5553203744744,7.991742134632442,Wet,29,0.95,1
Bamboo,Coast,Loam,33.82365952941359,26.67159955619637,826.7759418504986,7.716510538101167,Dry,27,0.44999999999999996,1
Pine,Northern,Loam,962.4388184614364,25.795775801513233,2423.2622341033493,5.527578161071618,Dry,54,0.95,1
Indigenous Mix,Coast,Sandy,1324.7724866130584,25.970085367705668,974.237120436693,7.0473704825193035,Wet,45,0.95,0
Acacia,Coast,Sandy,501.7681300873422,21.84530501422188,1869.8987224342325,6.635943336399903,Wet,4,0.9,1
Indigenous Mix,Northern,Sandy,1019.7035163264936,15.80852155811977,2526.714819965666,7.03520327796184,Dry,42,0.95,1
Pine,Rift Valley,Sandy,1142.6979363615055,16.395888172398063,1594.0078101384797,6.136676555115128,Wet,40,0.8999999999999999,1
Eucalyptus,Eastern,Volcanic,1223.1704015015475,28.072395669536732,2737.794351766341,7.091674205418018,Dry,5,0.7,0
Cypress,Central,Volcanic,1404.016174257987,22.682676655413687,604.1822515059607,5.711980040114508,Dry,24,0.75,1
Acacia,Western,Rocky,803.0069906726761,19.28700517784462,1468.9880787069237,6.65486734167739,Dry,19,0.8999999999999999,1
Pine,Northern,Rocky,664.5771027198083,19.8197325617506,745.9891242834933,7.150756799253346,Dry,31,0.7499999999999999,0
Bamboo,Rift Valley,Sandy,541.5848892929769,17.59769017588797,673.1357657146498,7.899566295189823,Dry,36,0.6,1
Acacia,Rift Valley,Loam,817.1039374691253,23.342961394316283,1956.0566455181163,7.370182948573831,Wet,15,0.95,1
Pine,Central,Sandy,551.2887624940377,23.008502799582736,1439.9822248532787,6.87522985114539,Wet,52,0.85,1
Cypress,Rift Valley,Clay,733.6239129242684,20.615933500555396,2717.3122505231736,7.114527031638016,Wet,41,0.95,1
Bamboo,Eastern,Loam,427.6043004716754,25.027698890402018,2945.9931970014895,7.370479764947493,Wet,22,0.75,0
Indigenous Mix,Eastern,Loam,888.3574227361566,13.412521329296203,2319.867941826858,5.76985928661616,Wet,31,0.95,1
Eucalyptus,Western,Loam,672.7402933915668,17.299255427816433,1533.5411232381537,7.395462527691343,Dry,29,0.95,1
Pine,Central,Rocky,1100.58568033753,23.025133435309396,1584.5012806369296,5.902120434894366,Dry,3,0.5499999999999999,0
Pine,Coast,Loam,737.2930228141925,17.7473977289535,2500.1774217478987,6.010089086572247,Dry,2,0.75,1
Bamboo,Eastern,Clay,883.3949194228126,29.274053224958713,513.0740338572818,7.402476900070234,Wet,14,0.7999999999999999,1
Bamboo,Western,Volcanic,1032.1498230926838,27.610875144008425,2390.6616447286315,7.604925928741771,Wet,4,0.7999999999999999,1
Bamboo,Coast,Volcanic,1163.2218616817256,25.095185991431467,1043.0227442280263,5.844557247898089,Wet,38,0.95,1
Indigenous Mix,Northern,Loam,675.1417991809578,16.096089686748304,1505.8178117163898,7.685656176525594,Wet,37,0.95,1
Pine,Western,Rocky,1358.3946791709184,31.43307323044705,2008.719166491137,7.1911698430659055,Wet,19,0.19999999999999998,0
Cypress,Coast,Rocky,1134.7706160096084,18.75367210962038,2269.2023368522896,7.471537411681016,Wet,55,0.8499999999999999,1
Cypress,Central,Rocky,608.4968419570993,15.443136374561737,656.3555672434211,7.503417289548798,Wet,45,0.7,1
Bamboo,Eastern,Loam,781.013263658311,33.35432640517773,945.6311672616039,7.214778177624659,Dry,9,0.6499999999999999,0
Cypress,Central,Volcanic,891.1340928471517,15.116542296809591,2949.1167875847086,5.913235277425437,Wet,17,0.8999999999999999,0
