tree_species,region,county,soil_type,rainfall_mm,temperature_c,altitude_m,soil_ph,planting_season,planting_method,care_level,water_source,tree_age_months,survival_probability,survived
Jacaranda,Northern,Eldoret,Rocky,254.20986514102128,26.57302757797042,1843.1585417851752,6.65029789745893,Dry,Cutting,Low,Rain-fed,67,0.22000000000000003,0
Cedar,Northern,Kakamega,Black Cotton,390.30056405490325,24.52053429845267,2554.476592111123,6.362706569555967,Dry,Direct Seeding,Medium,Irrigation,5,0.8099999999999999,1
Wattle,Northern,Eldoret,Black Cotton,1389.4175398749167,22.176317759858645,598.2803496027474,7.498525997272607,Transition,Direct Seeding,High,Irrigation,63,0.95,1
Casuarina,Northern,Marsabit,Sandy,854.452093288193,18.123841031661563,2965.642489667038,6.8414766149683315,Transition,Seedling,High,Irrigation,78,0.95,1
Neem,Rift Valley,Machakos,Black Cotton,1055.4206277136486,17.060320771017295,2738.0170942179984,6.779193605289166,Transition,Cutting,High,Borehole,115,0.95,1
Acacia,North Eastern,Meru,Sandy,606.028134727242,16.592259981928024,799.4053295481281,7.726318201849738,Transition,Direct Seeding,Medium,Borehole,105,0.95,1
Cedar,North Eastern,Kakamega,Black Cotton,920.4681704377996,30.234745051935924,1966.3385866518977,6.911146356306603,Wet,Seedling,Low,River,64,0.95,1
Bamboo,Nairobi,Meru,Black Cotton,948.9734476894398,21.02874305882983,518.8359078351868,6.06333199428132,Transition,Seedling,Medium,Borehole,62,0.95,1
Casuarina,Northern,Nakuru,Black Cotton,1039.2452613434943,22.72602030142729,513.2500159940136,7.937667907362856,Dry,Cutting,Low,River,66,0.95,1
Acacia,Central,Meru,Clay,670.762283623215,24.472833010712424,2919.9851662605856,7.277381197091871,Transition,Seedling,Medium,River,1,0.95,1
Bamboo,Rift Valley,Eldoret,Sandy,1029.275659582707,22.0539908240485,1301.6054803987859,6.984707743894747,Dry,Seedling,Medium,Rain-fed,23,0.95,1
Indigenous Mix,Rift Valley,Marsabit,Volcanic,1516.963481665497,18.97792760934144,2485.723624916156,5.76674812528359,Transition,Seedling,Low,Borehole,9,0.95,1
Cypress,Coast,Kakamega,Volcanic,973.7910310616661,24.486458889153877,2376.254811913284,7.498842827298789,Transition,Seedling,Medium,River,78,0.95,1
Cypress,Northern,Nairobi,Red Soil,1312.7877484188866,26.12450093064367,1629.8715032475982,7.284456137138315,Transition,Direct Seeding,High,Rain-fed,15,0.95,1
Cypress,Northern,Kisumu,Loam,1048.8216743550468,10.944323454960575,2766.1802774113676,7.06059498978498,Transition,Seedling,Low,Borehole,51,0.95,1
Eucalyptus,Coast,Kitui,Red Soil,1089.7766023878771,22.41027435576399,2471.493028061327,5.879187199331878,Dry,Seedling,Medium,Irrigation,68,0.95,1
Casuarina,Eastern,Eldoret,Red Soil,678.1175811830647,23.30264493537008,1841.203378711487,6.447053913892289,Dry,Direct Seeding,High,Borehole,8,0.95,1
Acacia,Nyanza,Kisumu,Black Cotton,1199.131568980725,31.99658603124902,2290.4476868323804,6.997573411943316,Transition,Seedling,Medium,Borehole,47,0.95,1
Neem,Eastern,Meru,Volcanic,854.1592525416294,35.217857916992756,2028.6355885866196,5.545275459552101,Dry,Cutting,Medium,Rain-fed,72,0.95,1
Bamboo,Nairobi,Nairobi,Black Cotton,397.56645266009076,31.434140560621184,2341.1105890618073,7.835917536922537,Dry,Seedling,Medium,River,21,0.7100000000000001,1
Wattle,Eastern,Nyeri,Volcanic,1561.6073305212458,24.61976333553897,1497.5067596753256,5.636904097055078,Wet,Cutting,Low,River,41,0.95,1
Eucalyptus,Western,Kisumu,Clay,731.036128566084,25.140700067403348,1367.3830047405693,7.343753120274371,Transition,Seedling,High,River,52,0.95,1
Eucalyptus,Nairobi,Nairobi,Rocky,584.5089751487753,26.529438057452516,1050.2430352027427,6.0317019608530655,Dry,Seedling,Medium,River,49,0.8999999999999999,1
Cypress,Nyanza,Nakuru,Black Cotton,626.5058231218097,17.4472107763006,1274.8423156715273,6.493295288643995,Wet,Direct Seeding,High,Rain-fed,29,0.95,1
Pine,Northern,Garissa,Clay,586.1462651968507,22.532151138459483,2438.8190417375263,6.633222086870069,Wet,Seedling,Low,Borehole,94,0.95,1
Cypress,Rift Valley,Garissa,Clay,629.6842895672928,20.892389516576415,2383.1155518686273,6.180754636800748,Transition,Seedling,Low,Rain-fed,55,0.95,1
Casuarina,Northern,Nyeri,Red Soil,313.24291094067434,23.70494176138567,990.2827492336321,6.763769697765085,Dry,Cutting,High,River,67,0.95,1
Jacaranda,Eastern,Meru,Volcanic,727.9023805525595,20.125895962252013,2305.667329639148,7.639241170265715,Wet,Seedling,Low,Borehole,85,0.95,1
Indigenous Mix,Eastern,Kitui,Sandy,897.8399066726354,15.744432118073485,1553.561376481245,7.731679277692438,Transition,Cutting,Low,Borehole,2,0.95,1
Neem,Western,Meru,Sandy,415.87119425111507,30.77397090992182,1880.1179521299505,6.590316322838292,Wet,Direct Seeding,Medium,Irrigation,108,0.95,1
Wattle,Nyanza,Kiambu,Volcanic,834.2682945986119,22.75150880730939,1563.0337611730836,5.5561732708002936,Dry,Direct Seeding,Medium,Irrigation,103,0.95,1
Jacaranda,Northern,Kiambu,Volcanic,805.5301799196179,23.737908526808354,929.1982146207588,6.180768316298423,Wet,Direct Seeding,Medium,Irrigation,100,0.95,1
Indigenous Mix,North Eastern,Kisumu,Loam,1108.746691197693,24.362987412065216,1016.053179401508,5.527489571646202,Wet,Direct Seeding,High,Rain-fed,12,0.95,1
Pine,Northern,Kitui,Clay,752.5695529789405,26.032966239568434,1457.8463206237436,6.797294263207094,Transition,Cutting,Medium,Rain-fed,53,0.95,1
Cypress,Northern,Kiambu,Red Soil,523.0300261667287,15.241576971918331,2297.614762960614,6.242804289057938,Transition,Seedling,Medium,Rain-fed,24,0.95,1
Eucalyptus,Rift Valley,Nyeri,Sandy,889.3280752755192,13.402294966438898,905.0346947289615,7.603824150775108,Wet,Direct Seeding,High,River,117,0.95,1
Cypress,Rift Valley,Kakamega,Rocky,1392.5082060892344,21.763676736854954,1587.0683465093655,6.116005083097767,Transition,Seedling,Medium,River,94,0.95,1
Casuarina,Coast,Nairobi,Red Soil,404.19563325877834,20.86877390495662,1854.7523684458954,7.682364589691021,Dry,Seedling,High,Irrigation,118,0.95,1
Cedar,Nairobi,Marsabit,Red Soil,928.8854657397758,23.038438435815557,951.4383628183339,6.919863076381573,Dry,Direct Seeding,Low,River,7,0.95,1
Cypress,Rift Valley,Kitui,Sandy,1207.0570322656665,20.20281362987549,2362.661370300551,5.637206536616187,Transition,Seedling,Low,River,17,0.95,1
Casuarina,Central,Meru,Volcanic,487.2545377318584,28.389634146190826,2311.9169288219036,5.663390851997356,Wet,Direct Seeding,Medium,Rain-fed,25,0.95,1
Jacaranda,Nairobi,Turkana,Volcanic,395.160928572343,24.927517304292895,561.001953891345,7.675247184752324,Wet,Cutting,Low,Borehole,32,0.95,1
Wattle,North Eastern,Mombasa,Rocky,792.7168160324175,19.22388000435619,1951.8930180683192,6.17921742767251,Dry,Seedling,High,Borehole,65,0.95,1
Eucalyptus,Coast,Marsabit,Red Soil,1035.8524760567607,19.738359171827497,2288.883288085605,6.972771336177237,Dry,Direct Seeding,High,River,15,0.95,1
Casuarina,Rift Valley,Nyeri,Red Soil,968.9236621917713,14.337363290413393,2955.826287700204,7.710497445328757,Transition,Direct Seeding,Low,Irrigation,72,0.95,1
Eucalyptus,Western,Eldoret,Black Cotton,329.0118987027971,22.36981482036784,941.3200800137706,6.051215522675438,Dry,Seedling,Low,Borehole,5,0.88,0
Casuarina,Western,Nakuru,Black Cotton,687.9802194870292,16.132148964939375,2395.596189260228,7.240051545134481,Dry,Direct Seeding,High,River,111,0.95,1
Neem,North Eastern,Eldoret,Clay,616.1633928546842,20.061492200320078,2721.870199672443,7.889128745574384,Dry,Cutting,Medium,River,11,0.95,1
Neem,Coast,Turkana,Clay,813.677649341015,18.845039350630262,2905.3049314801247,5.773672150136135,Wet,Direct Seeding,Medium,Rain-fed,40,0.95,1
Eucalyptus,Northern,Eldoret,Loam,1359.5009701992421,26.10241219135613,1859.4472699934981,7.661232200768371,Dry,Cutting,High,Rain-fed,59,0.95,1
Grevillea,Coast,Kitui,Volcanic,1120.0024068767461,27.846477952228362,2046.5284455379608,7.381791598894103,Wet,Cutting,Low,Irrigation,115,0.95,1
Neem,Nairobi,Kiambu,Volcanic,1161.9526899525072,17.91532164506382,901.8997401207705,7.544917560297655,Wet,Direct Seeding,High,Rain-fed,27,0.95,1
Wattle,Rift Valley,Garissa,Rocky,733.6408004822604,22.94860441779029,1208.357370663954,5.546069296845544,Transition,Direct Seeding,High,Irrigation,94,0.95,1
Bamboo,Central,Machakos,Black Cotton,666.0699156348415,22.97044996449154,1252.4089173670407,7.2704302216132035,Dry,Seedling,Low,Irrigation,22,0.95,1
Jacaranda,Central,Kisumu,Red Soil,632.3234458185235,23.886059375322603,2395.6579898225564,5.561467291147004,Transition,Cutting,Low,Irrigation,32,0.95,1
Wattle,Nairobi,Mombasa,Volcanic,766.1024654395741,15.875324749055238,2860.7590873945746,5.755484049234298,Dry,Seedling,Low,Irrigation,75,0.95,1
Cypress,North Eastern,Kakamega,Loam,929.2520733001245,23.216538320641828,2643.4002302312465,7.911301180675522,Transition,Seedling,Medium,Borehole,1,0.95,1
Neem,Nyanza,Garissa,Black Cotton,906.1288336975604,20.56023889048597,2287.310100505619,6.906875715858456,Dry,Direct Seeding,High,River,17,0.95,1
Indigenous Mix,Nyanza,Garissa,Sandy,937.9787077466433,25.037571635747522,2065.5508040785385,5.828112194205969,Transition,Seedling,Low,Rain-fed,20,0.95,1
Wattle,Northern,Kisumu,Volcanic,1291.433824864292,29.505194200022302,1118.849889008438,6.896031681457995,Dry,Cutting,High,Rain-fed,2,0.95,1
Jacaranda,North Eastern,Nairobi,Rocky,748.0895363909246,18.55920154949864,1699.8470867928088,7.000051370298259,Wet,Cutting,Medium,Borehole,41,0.95,1
Cedar,Nyanza,Kiambu,Rocky,798.9192382728295,16.208176554037287,2045.3893357952977,7.25616242636026,Dry,Direct Seeding,High,Rain-fed,2,0.7799999999999999,1
Pine,Rift Valley,Machakos,Red Soil,499.5139970315253,20.594498535570224,1918.8521206538953,7.223662422843164,Dry,Cutting,High,Borehole,104,0.95,1
Neem,Nyanza,Eldoret,Sandy,1310.5088625600383,28.915725004361374,2032.360437164015,6.247089715843284,Wet,Seedling,Low,Borehole,84,0.95,1
Cypress,North Eastern,Garissa,Sandy,995.4227842781067,31.88272136864114,1993.6896565798252,7.459581383547155,Wet,Seedling,Medium,River,75,0.95,1
Cypress,Rift Valley,Kisumu,Sandy,490.5271259389526,19.3535088122689,2474.246267856198,7.14676943875219,Transition,Direct Seeding,High,Borehole,22,0.95,1
Eucalyptus,Nairobi,Garissa,Clay,984.055391819125,16.886037174007974,680.4960224479396,5.576631255514515,Wet,Cutting,Medium,Rain-fed,85,0.95,1
Pine,Central,Nakuru,Clay,1215.332633505694,25.787278746585205,2419.3097201669507,6.762112204732544,Wet,Seedling,Medium,Borehole,117,0.95,1
Neem,Western,Turkana,Sandy,310.114315837405,19.13615787725737,1980.8758214834056,7.780908364041728,Dry,Direct Seeding,Low,Irrigation,15,0.71,0
Neem,Nyanza,Mombasa,Clay,897.1400382817835,20.54255010503255,1730.694641120087,6.118077686007942,Wet,Seedling,High,Borehole,103,0.95,1
Neem,Nyanza,Meru,Volcanic,1114.1027523929943,20.523688836461552,522.5760103238756,6.971031583351514,Transition,Cutting,Low,Irrigation,47,0.95,1
Eucalyptus,Coast,Meru,Loam,823.0465673180767,15.585038879057151,1342.5079410782157,7.572208414706523,Dry,Seedling,High,Borehole,57,0.95,1
Neem,Northern,Garissa,Loam,703.5094846347852,32.383739917804206,2610.4261224229926,7.514175382375133,Dry,Seedling,Medium,Irrigation,20,0.95,1
Eucalyptus,Central,Nakuru,Black Cotton,428.79750636588614,25.146244859467924,950.0260936818088,5.721388960558103,Wet,Direct Seeding,Medium,River,20,0.95,1
Grevillea,Northern,Meru,Red Soil,820.3260718286488,24.000572373241084,1135.5614497437332,6.804325116590533,Wet,Seedling,Medium,River,45,0.95,1
Pine,Central,Mombasa,Red Soil,612.8693117912585,31.57015676933393,2670.3556359437634,5.942874473618465,Wet,Seedling,Medium,Irrigation,43,0.95,1
Wattle,Eastern,Nairobi,Clay,855.1313403869126,22.83384809798259,2421.298411309478,5.7827745476914325,Transition,Seedling,High,River,31,0.95,1
Wattle,Central,Nyeri,Clay,890.79063957171,18.22862074990321,2998.5343144266662,5.62053009715139,Dry,Direct Seeding,High,Borehole,73,0.95,1
Bamboo,Rift Valley,Kiambu,Volcanic,726.7530094128053,26.820435841441785,1317.5829039080968,7.168983463908962,Dry,Cutting,High,Borehole,23,0.95,1
Cedar,Nairobi,Kakamega,Loam,1093.8778852522596,15.325980808905115,1320.9530697127027,7.07552187082286,Dry,Direct Seeding,High,River,89,0.95,1
Cypress,Coast,Machakos,Sandy,1292.6045480409107,27.04908544671317,2048.7258650240365,6.658735109501431,Wet,Direct Seeding,High,Irrigation,28,0.95,1
Jacaranda,Nairobi,Kisumu,Black Cotton,826.8824479782826,16.093030083505994,1115.1741469949957,6.691738687602898,Wet,Cutting,Low,Rain-fed,108,0.95,1
Acacia,Western,Meru,Volcanic,1074.9885398472588,21.20126679817392,678.2006751379098,7.886650075083269,Dry,Cutting,Medium,Irrigation,86,0.95,1
Cypress,Nyanza,Machakos,Rocky,538.8282151214731,17.07863812353748,1268.2249123157164,7.507564744581659,Wet,Seedling,High,Rain-fed,18,0.91,1
Grevillea,Nyanza,Nairobi,Sandy,759.7195689927469,21.20388060951645,2202.794634912457,5.953595869239067,Dry,Seedling,Low,Irrigation,42,0.95,1
Bamboo,Coast,Kisumu,Rocky,837.5673507943721,19.852972294373735,2878.5083555166425,7.0040295503658285,Dry,Direct Seeding,Low,Irrigation,26,0.95,1
Jacaranda,Coast,Meru,Sandy,1021.9249819634776,20.73126659586208,2424.8617506291976,6.8915926448417935,Transition,Cutting,Medium,Rain-fed,100,0.95,1
Cypress,Rift Valley,Nairobi,Red Soil,549.3958840220728,32.72574563886694,1966.5211579386853,5.920035519362159,Dry,Seedling,High,Borehole,81,0.95,1
Wattle,North Eastern,Kiambu,Loam,967.6222257835525,16.050274733171506,1142.209619114287,7.080038715051046,Transition,Seedling,Low,Irrigation,85,0.95,1
Cypress,Eastern,Machakos,Black Cotton,1092.915186038631,27.52024568241677,2978.1399842554706,5.820985723635313,Wet,Cutting,High,Irrigation,32,0.95,1
Bamboo,North Eastern,Mombasa,Rocky,1139.2109925843504,30.578509171971938,1502.9697850974567,6.417390198012002,Dry,Seedling,High,River,49,0.95,1
Cedar,Western,Kisumu,Black Cotton,1109.318874196416,22.542713380142192,2127.1934226179856,6.8323944663783385,Wet,Seedling,Medium,Rain-fed,87,0.95,0
Indigenous Mix,North Eastern,Mombasa,Sandy,214.66445754534288,18.855355544056536,1951.1875167916864,5.721918485269422,Wet,Direct Seeding,Low,River,30,0.9,1
Bamboo,Coast,Meru,Rocky,99.32818275001159,19.503513802140013,799.5725050441158,7.9354115715700395,Dry,Direct Seeding,Medium,Irrigation,30,0.7799999999999999,1
Pine,Eastern,Nairobi,Red Soil,641.7592029158432,23.808382927118274,2565.169075631321,7.455070219175965,Wet,Seedling,High,Rain-fed,109,0.95,1
Cedar,Eastern,Kiambu,Red Soil,818.0087017256037,13.945777722191266,2563.2152705822423,6.199258846178698,Wet,Seedling,Low,Borehole,35,0.95,0
Pine,Western,Marsabit,Sandy,684.5474354158623,24.319861414617296,2826.4880366097905,5.79091599471369,Wet,Seedling,Low,River,78,0.95,1
Cypress,Rift Valley,Marsabit,Rocky,636.1219486907308,26.905343268373514,557.2345624403006,5.884477874170078,Wet,Direct Seeding,Medium,Rain-fed,10,0.81,1
Acacia,Western,Nakuru,Clay,1073.712384188861,14.011440401132955,847.9950615438246,7.745654068231765,Wet,Direct Seeding,High,Irrigation,25,0.95,1
Acacia,Rift Valley,Turkana,Rocky,816.9949774691321,24.648463771783653,2914.5554028830497,6.58124469582533,Transition,Direct Seeding,Low,Irrigation,6,0.95,1
Wattle,Rift Valley,Marsabit,Loam,406.31618439832425,14.186726073669607,1911.1027266972062,5.979456138979652,Wet,Cutting,High,Borehole,31,0.95,1
Acacia,Eastern,Mombasa,Clay,615.9792009377181,20.487651567559357,2230.40335423533,5.655729495325157,Dry,Direct Seeding,Medium,Borehole,103,0.95,1
Jacaranda,Northern,Marsabit,Red Soil,670.2403214902945,28.635390510068333,2135.1894884299954,6.385590601111936,Dry,Direct Seeding,Medium,Borehole,86,0.95,1
Cedar,Nyanza,Mombasa,Volcanic,682.5305581010587,21.924034356150052,1149.5330218625854,7.400724557805337,Dry,Direct Seeding,Medium,Irrigation,13,0.95,1
Indigenous Mix,Eastern,Mombasa,Volcanic,763.2959292076683,19.82421701072624,1164.6278416357836,7.11522530865627,Wet,Seedling,Medium,River,68,0.95,1
Eucalyptus,North Eastern,Nairobi,Clay,1103.5709935480236,23.60526166666082,1480.9843038211861,7.890555476622371,Dry,Seedling,High,Rain-fed,1,0.95,1
Casuarina,Central,Nairobi,Rocky,1447.1924639796512,18.97142538498331,2148.3848055144567,7.7377943517663414,Transition,Direct Seeding,Low,Rain-fed,88,0.72,0
Jacaranda,Central,Turkana,Loam,1404.016174257987,22.682676655413687,604.1822515059607,5.711980040114508,Transition,Direct Seeding,High,River,24,0.95,1
Grevillea,Western,Garissa,Loam,395.8621131410911,17.141929807446743,1374.258074364624,7.436633827952955,Transition,Direct Seeding,High,Irrigation,58,0.95,1
Eucalyptus,Nyanza,Eldoret,Clay,762.2183081159499,18.41257406959459,706.5441586481717,6.786643966433779,Dry,Cutting,Medium,Borehole,66,0.95,1
Pine,Coast,Meru,Rocky,1198.4582425547173,24.7811500470033,2109.7606338528267,6.8257553331228955,Transition,Seedling,Medium,Rain-fed,104,0.95,1
Eucalyptus,Nyanza,Kiambu,Red Soil,1023.7403753181211,24.967145865968046,2141.1965183287566,5.8202393659155,Dry,Cutting,Medium,River,25,0.95,1
Cypress,Central,Eldoret,Volcanic,646.5648333349307,18.19799962833347,2820.7938321214424,7.189955688965888,Transition,Seedling,Low,Borehole,32,0.95,1
Casuarina,Nyanza,Marsabit,Red Soil,749.8634858640766,23.412899752441497,2387.6048218656956,6.65134874318535,Transition,Cutting,Medium,Irrigation,108,0.95,0
Cypress,Nairobi,Eldoret,Rocky,771.6884749893857,21.57053375141104,2314.9497749632387,7.544463324642363,Dry,Cutting,High,Rain-fed,22,0.95,1
Neem,North Eastern,Kakamega,Red Soil,542.3483681140717,23.21982160639622,878.923428969184,5.734392301613892,Wet,Direct Seeding,High,Borehole,58,0.95,0
Cedar,Coast,Marsabit,Red Soil,737.2930228141925,17.7473977289535,2500.1774217478987,6.010089086572247,Transition,Seedling,High,River,27,0.95,1
Eucalyptus,North Eastern,Kiambu,Volcanic,759.7948499981247,22.073440973645987,2402.4769000702345,5.588278387350598,Dry,Cutting,Low,Borehole,20,0.95,1
Cypress,Coast,Kisumu,Volcanic,554.8443600173014,11.529396861681114,2305.1773455068424,7.715489451162686,Wet,Cutting,High,Irrigation,104,0.95,1
Acacia,Western,Eldoret,Volcanic,1149.9645772931017,19.13501097504527,732.4765995578305,6.970505667370976,Wet,Seedling,Medium,Irrigation,55,0.95,1
