indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2012,24.376,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2011,23.969,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2010,23.571,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2009,23.183,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2008,22.8,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2007,22.42,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2006,22.045,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2005,21.675,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2004,21.31,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2003,20.948,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2002,20.591,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2001,20.239,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2000,19.892,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1999,19.55,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1998,19.222,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1997,18.898,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1996,18.579,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1995,18.263,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1994,17.952,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1993,17.645,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1992,17.342,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1991,17.043,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1990,16.748,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1989,16.485,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1988,16.383,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1987,16.281,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1986,16.18,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1985,16.079,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1984,15.979,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1983,15.879,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1982,15.78,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1981,15.681,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1980,15.583,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1979,15.401,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1978,14.745,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1977,14.112,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1976,13.503,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1975,12.914,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1974,12.349,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1973,11.805,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1972,11.282,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1971,10.778,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1970,10.295,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1969,9.85,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1968,9.525,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1967,9.209,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1966,8.902,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1965,8.605,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1964,8.318,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1963,8.038,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1962,7.774,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1961,7.565,,,0
"{'id': 'SP.URB.TOTL.IN.ZS', 'value': 'Urban population (% of total population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,1960,7.362,,,0
